"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"2761100184","COLEGIUL TEHNIC ""DANUBIANA"", MUNICIPIUL ROMAN","Colegiu",120879,"ROMAN","NT"
"2761100035","COLEGIUL TEHNIC ""MIRON COSTIN"", MUNICIPIUL ROMAN","Colegiu",120879,"ROMAN","NT"
"2761102408","COLEGIUL TEHNIC ""PETRU PONI"", MUNICIPIUL ROMAN","Colegiu",120879,"ROMAN","NT"
"2761102521","LICEUL TEHNOLOGIC ""VASILE SAV"", MUNICIPIUL ROMAN","Liceu tehnologic / Școală profesională",120879,"ROMAN","NT"
"2761102046","LICEUL ""GH. RUSET ROZNOVANU"", ORAȘ ROZNOV","Liceu tehnologic / Școală profesională",124126,"ROZNOV","NT"
"2761101773","LICEUL TEORETIC ""VASILE ALECSANDRI"", COMUNA SĂBĂOANI","Liceu",124215,"SĂBĂOANI","NT"
"2761102575","ȘCOALA PROFESIONALĂ SPECIALĂ, COMUNA ȘTEFAN CEL MARE","Școală profesională / Învățământ dual",124420,"ŞTEFAN CEL MARE","NT"
"2761102281","COLEGIUL TEHNIC ""ION CREANGĂ"", ORAȘ TÂRGU NEAMȚ","Colegiu",121064,"TÂRGU NEAMŢ","NT"
"2761101782","ȘCOALA PROFESIONALĂ, COMUNA VALEA URSULUI","Liceu tehnologic / Școală profesională",124894,"VALEA URSULUI","NT"
"2761102652","LICEUL TEHNOLOGIC ""ARHIMANDRIT CHIRIAC NICOLAU"", COMUNA VÂNĂTORI-NEAMȚ","Liceu",125025,"VÂNĂTORI-NEAMŢ","NT"
"2861100074","LICEUL TEHNOLOGIC ""NICOLAE BĂLCESCU"" BALȘ","Liceu",125427,"BALŞ","OT"
"2861101048","LICEUL TEHNOLOGIC NR. 1 BALȘ","Liceu",125427,"BALŞ","OT"
"2861100056","ȘCOALA PROFESIONALĂ SPECIALĂ BALȘ","Școală profesională / Învățământ dual",125427,"BALŞ","OT"
"2861100594","LICEUL TEHNOLOGIC ""CONSTANTIN FILIPESCU"" CARACAL","Liceu",125481,"CARACAL","OT"
"2861100585","LICEUL TEHNOLOGIC ""DIMITRIE PETRESCU"" CARACAL","Liceu tehnologic / Școală profesională",125481,"CARACAL","OT"
