"siiir","denumire","categorie","siruta","localitate","judet"
"0861101148","Liceul Tehnologic 'Victor Jinga' Săcele","Școală postliceală","40447","SĂCELE","BV"
"0861100961","Liceul Teoretic 'George Moroianu' Săcele","Liceu","40447","SĂCELE","BV"
"0861101641","Liceul Teoretic 'Zajzoni Rab Istvan' Săcele","Liceu","40447","SĂCELE","BV"
"0861100545","Colegiul Tehnic 'Dr. Alexandru Bărbat' Victoria","Liceu tehnologic / Școală profesională","40474","VICTORIA","BV"
"0861101374","Liceul Teoretic 'I.C. Drăgușanu' Victoria","Liceu","40474","VICTORIA","BV"
"0861101799","Liceul Tehnologic 'Malaxa' Zărnești","Liceu tehnologic / Școală profesională","40508","ZĂRNEŞTI","BV"
"0861100717","Liceul Teoretic 'Mitropolit Ioan Mețianu' Zărnești","Liceu","40508","ZĂRNEŞTI","BV"
"1061104025","LICEUL TEHNOLOGIC ""SF. MUCENIC SAVA"" COMUNA BERCA","Liceu tehnologic / Școală profesională","45110","BERCA","BZ"
"1061104301","CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MUNICIPIUL BUZĂU","Centru de Educație Incluzivă","44827","BUZĂU","BZ"
"1061104382","COLEGIUL ECONOMIC MUNICIPIUL BUZĂU","Colegiu","44827","BUZĂU","BZ"
"1061103603","COLEGIUL NAŢIONAL ""B. P. HASDEU"" MUNICIPIUL BUZĂU","Colegiu","44827","BUZĂU","BZ"
"1061104803","COLEGIUL NAŢIONAL ""MIHAI EMINESCU"" MUNICIPIUL BUZĂU","Colegiu","44827","BUZĂU","BZ"
"1061104319","COLEGIUL NAȚIONAL PEDAGOGIC ""SPIRU HARET"" MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061103553","LICEUL AGRICOL ""Dr. C. ANGELESCU"" MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
